day: 0, animals: 100, plants: 200, average age: 0,00, average fertility: 0,00, average energy: 100,00
day: 1, animals: 100, plants: 198, average age: 1,00, average fertility: 0,00, average energy: 99,60
day: 2, animals: 100, plants: 199, average age: 2,00, average fertility: 0,00, average energy: 98,60
day: 3, animals: 100, plants: 199, average age: 3,00, average fertility: 0,00, average energy: 97,80
day: 4, animals: 101, plants: 196, average age: 3,97, average fertility: 0,02, average energy: 96,63
day: 5, animals: 101, plants: 196, average age: 4,97, average fertility: 0,02, average energy: 95,83
day: 6, animals: 102, plants: 194, average age: 5,92, average fertility: 0,04, average energy: 94,49
day: 7, animals: 102, plants: 193, average age: 6,92, average fertility: 0,04, average energy: 93,88
day: 8, animals: 102, plants: 194, average age: 7,92, average fertility: 0,04, average energy: 92,88
day: 9, animals: 103, plants: 192, average age: 8,84, average fertility: 0,06, average energy: 91,57
day: 10, animals: 103, plants: 193, average age: 9,84, average fertility: 0,06, average energy: 90,57
day: 11, animals: 103, plants: 193, average age: 10,84, average fertility: 0,06, average energy: 89,77
day: 12, animals: 104, plants: 193, average age: 11,74, average fertility: 0,08, average energy: 88,11
day: 13, animals: 108, plants: 193, average age: 12,31, average fertility: 0,15, average energy: 84,06
day: 14, animals: 109, plants: 193, average age: 13,19, average fertility: 0,17, average energy: 82,49
day: 15, animals: 109, plants: 194, average age: 14,19, average fertility: 0,17, average energy: 81,49
day: 16, animals: 110, plants: 195, average age: 15,06, average fertility: 0,18, average energy: 79,75
day: 17, animals: 110, plants: 195, average age: 16,06, average fertility: 0,18, average energy: 78,94
